GS.Sample.ID	Corrected.Sample.ID	ACNO	Habit	Region	State	Year	MC	HeadType	Sector	Decade	BP
Sawtell	Sawtell	CItr17424	spring	PNW	ID	1977	HRS	common	NA	1970-79	1961-2015
Sawyer	Sawyer	PI559930	winter	GPL	CO	1991	SRW	common	NA	1990-99	1961-2015
Scout	Scout	CItr13546	winter	GPL	NE	1964	HRW	common	NA	1960-69	1961-2015
Scoutland	Scoutland	CItr14075	winter	GPL	NE	1970	HRW	common	NA	1970-79	1961-2015
Seabreeze	Seabreeze	CItr12611	winter	GPL	TX	1945	SRW	common	NA	1940-49	1850-1960
Sentinel	Sentinel	CItr17265	winter	GPL	NE	1973	HRW	common	NA	1970-79	1961-2015
Severn	Severn	PI17939	winter	EAS	MD	1981	SRW	common	NA	1980-89	1961-2015
Sharp	Sharp	PI540401	spring	NOR	SD	1990	HRS	common	NA	1990-99	1961-2015
Shasta	Shasta	CItr17651	spring	PAC	CA	1976	HRS	common	NA	1970-79	1961-2015
Shepherd	Shepherd	CItr6163	winter	EAS	NY	1923	SRW	common	NA	1850-1929	1850-1960
Sheridan	Sheridan	CItr13586	spring	NOR	MT	1966	HRS	common	NA	1960-69	1961-2015
Sherman	Sherman	CItr4430	winter	PNW	OR	1928	HRW	common	NA	1850-1929	1850-1960
Shield	Shield	PI491570	spring	NOR	SD	1986	HRS	common	NA	1980-89	1961-2015
Shortana	Shortana	CItr15233	spring	NOR	MT	1971	HRS	common	NA	1970-79	1961-2015
Sibley 81	Sibley 81	CItr10084	winter	GPL	OK	1930	HRW	common	NA	1930-39	1850-1960
Silver Sheaf	SilverSheaf	CItr2496	winter	EAS	NY	1905	SRW	common	NA	1850-1929	1850-1960
Sioux	Sioux	CItr12142	winter	GPL	NE	1940	HRW	common	NA	1940-49	1850-1960
Siouxland	Siouxland	PI483469	winter	GPL	NE	1984	HRW	common	NA	1980-89	1961-2015
Solar	Solar	CItr486140	spring	GPL	NE	1978	HRS	common	NA	1970-79	1961-2015
Southern Belle	Southern Belle	PI17894	winter	EAS	SC	1980	SRW	common	NA	1980-89	1961-2015
Spillman	Spillman	PI506350	spring	PNW	WA	1987	HRS	common	NA	1980-89	1961-2015
Spinkcota	Spinkcota	CItr12375	spring	NOR	SD	1944	HRS	common	NA	1940-49	1850-1960
Spokane Chief	Spokane Chief	CItr13252	winter	PNW	WA	1953	SRW	common	NA	1950-59	1850-1960
Spring Field	SpringField	CItr14589	spring	PNW	ID	1970	SWS	common	NA	1970-79	1961-2015
SR 49	SR-49	PI487294	winter	GPL	CO	1984	SRW	common	NA	1980-89	1961-2015
Stacey	Stacy	PI17861	winter	EAS	GA	1980	SRW	common	NA	1980-89	1961-2015
Stadler	Stadler	CItr13704	winter	EAS	MO	1964	SRW	common	NA	1960-69	1961-2015
Stafford	Stafford	CItr12706	winter	GPL	KS	1949	HRW	common	NA	1940-49	1850-1960
Steele	Steele	PI516196	winter	EAS	IN	1988	SRW	common	NA	1980-89	1961-2015
Sterling	Sterling	PI17859	spring	PNW	ID	1980	SWS	common	NA	1980-89	1961-2015
Stoa	Stoa	PI520297	spring	NOR	ND	1984	HRS	common	NA	1980-89	1961-2015
Stoddard	Stoddard	CItr15925	winter	EAS	MO	1973	SRW	common	NA	1970-79	1961-2015
Sturgeon	Sturgeon	CItr11703	spring	EAS	WI	1934	HRS	common	NA	1930-39	1850-1960
Sullivan	Sullivan	CItr17684	winter	EAS	IN	1977	SRW	common	NA	1970-79	1961-2015
Super Triumph	Super Triumph	CItr13669	winter	GPL	OK	1957	HRW	common	NA	1950-59	1850-1960
Surprise	Surprise	CItr25971	spring	PAC	CA	1909	SWS	common	NA	1850-1929	1850-1960
Survivor	Survivor	PI509503	winter	PNW	ID	1991	HRW	common	NA	1990-99	1961-2015
Susquehanna	Susquehanna	PI474581	winter	EAS	MD	1988	SRW	common	NA	1980-89	1961-2015
Sylvan	Sylvan	PI578867	spring	GPL	CO	1994	HRS	common	NA	1990-99	1961-2015
Symphony	Symphony	PI583754	winter	PNW	WA	1994	SRW	common	NA	1990-99	1961-2015
Syringa	Syringa	PI601452	winter	PNW	ID	1988	SWW	common	NA	1980-89	1961-2015
TAM 106	TAM 106	CItr17827	winter	GPL	TX	1979	HRW	common	NA	1970-79	1961-2015
TAM 109	TAM 109	PI554606	winter	GPL	TX	1991	HRW	common	NA	1990-99	1961-2015
TAM 200	TAM-200	PI578255	winter	GPL	TX	1986	HRW	common	NA	1980-89	1961-2015
TAM 202	TAM 202	PI561933	winter	GPL	TX	1992	HRW	common	NA	1990-99	1961-2015
TAM 300	TAM 300	PI576151	winter	GPL	TX	1993	HRW	common	NA	1990-99	1961-2015
TAM W-101	TAM W-101	CItr15324	winter	GPL	TX	1971	HRW	common	NA	1970-79	1961-2015
TAM W-104	TAM W-104	CItr17452	winter	GPL	TX	1975	HRW	common	NA	1970-79	1961-2015
Tammy	Tammy	PI601288	spring	PAC	CA	1986	HRS	common	NA	1980-89	1961-2015
Tayland	Tayland	CItr12761	winter	EAS	MD	1954	SRW	common	NA	1950-59	1850-1960
Tayler	Taylor	CItr12461	winter	EAS	VA	1953	SRW	common	NA	1950-59	1850-1960
Taylor 49	Taylor 49	CItr13249	winter	EAS	NC	1956	SRW	common	NA	1950-59	1850-1960
Tecumseh	Tecumseh	CItr17287	winter	EAS	MI	1973	SWW	common	NA	1970-79	1961-2015
Telemar 19	Telemark	PI506406	spring	GPL	KS	1987	HRS	common	NA	1980-89	1961-2015
Tendoy	Tendoy	CItr13426	winter	PNW	ID	1960	HRW	common	NA	1960-69	1850-1960
Tenmarq	Tenmarq	CItr6936	winter	GPL	KS	1932	HRW	common	NA	1930-39	1850-1960
Terral 877	Terral 877	PI564083	winter	EAS	LA	1992	SRW	common	NA	1990-99	1961-2015
Teton	Teton	CItr15244	winter	NOR	MT	1971	HRW	common	NA	1970-79	1961-2015
Texred	Texred	CItr17729	winter	GPL	TX	1977	HRW	common	NA	1970-79	1961-2015
Thatcher	Thatcher	CItr10003	spring	NOR	MN	1934	HRS	common	NA	1930-39	1850-1960
Thunderbird	Thunderbird	PI497988	winter	GPL	CO	1985	HRW	common	NA	1980-89	1961-2015
Tiber	Tiber	PI517194	winter	NOR	MT	1988	HRW	common	NA	1980-89	1961-2015
Ticonderoga	Ticonderoga	CItr17290	winter	EAS	NY	1973	SWW	common	NA	1970-79	1961-2015
Timstein	Timstein	CItr12347	winter	NOR	MN	1939	xxW	common	NA	1930-39	1850-1960
Timwin	Timwin	CItr13787	winter	EAS	WI	1967	SRW	common	NA	1960-69	1961-2015
Tioga	Tioga	CItr17286	spring	NOR	ND	1974	HRS	common	NA	1970-79	1961-2015
Todd	Todd	CItr13110	winter	EAS	KY	1956	SRW	common	NA	1950-59	1850-1960
Tracey	Tracey	CItr17925	spring	PAC	CA	1979	HRS	common	NA	1970-79	1961-2015
Trailblazer	Trailblazer	PI506407	winter	GPL	KS	1987	HRW	common	NA	1980-89	1961-2015
Trapper	Trapper	CItr13999	winter	GPL	NE	1967	HRW	common	NA	1960-69	1961-2015
Treasure	Treasure	PI468962	spring	PNW	ID	1986	SWS	common	NA	1980-89	1961-2015
Triplet	Triplet	CItr5408	winter	PNW	WA	1918	SRW	common	NA	1850-1929	1850-1960
Trison	Trison	CItr17278	winter	GPL	KS	1973	HRW	common	NA	1970-79	1961-2015
Triumph	Triumph	CItr12132	winter	GPL	OK	1940	HRW	common	NA	1940-49	1850-1960
Trumbull	Trumbull	CItr5657	winter	EAS	OH	1916	SRW	common	NA	1850-1929	1850-1960
Twain	Twain	PI506408	winter	GPL	KS	1987	SRW	common	NA	1980-89	1961-2015
Twin	Twin	CItr14588	spring	PNW	ID	1971	SWS	common	NA	1970-79	1961-2015
Tyee	Tyee	PI17773	winter	PNW	WA	1979	SWW	club	NA	1970-79	1961-2015
Tyler	Tyler	PI17899	winter	EAS	VA	1980	SRW	common	NA	1980-89	1961-2015
UI Lochsa	UI Lochsa	PI639952	spring	PNW	ID	2005	HWS	common	NA	2000-15	1961-2015
UI Pettit	UI Pettit	PI642363	spring	PNW	ID	2006	SWS	common	NA	2000-15	1961-2015
UI Winchester	UI Winchester	PI642362	spring	PNW	ID	2009	HRS	common	NA	2000-15	1961-2015
Union	Union	CItr11704	spring	PNW	OR	1921	SWS	club	NA	1850-1929	1850-1960
Urquie	Urquie	CItr17413	spring	PNW	WA	1975	SWS	common	NA	1970-79	1961-2015
USU Apogee	USU-Apogee	PI592742	spring	PNW	UT	1996	HRS	common	NA	1990-99	1961-2015
Utac	Utac	CItr10045	spring	PNW	UT	1928	HWS	common	NA	1850-1929	1850-1960
Utah-100	Utah-100	PI594920	winter	PNW	UT	1996	HRW	common	NA	1990-99	1961-2015
Ute	Ute	PI490017	winter	PNW	UT	1983	HRW	common	NA	1980-89	1961-2015
V.P.I. 112	V.P.I. 112	CItr11397	winter	EAS	VA	1915	SRW	common	NA	1850-1929	1850-1960
V.P.I. 131	V.P.I. 131	CItr10047	winter	EAS	VA	1915	SRW	common	NA	1850-1929	1850-1960
Vahart	Vahart	CItr12537	winter	EAS	VA	1945	SRW	common	NA	1940-49	1850-1960
Valprize	Valprize	CItr11539	winter	EAS	NY	1931	SRW	common	NA	1930-39	1850-1960
Vance	Vance	PI532150	spring	NOR	MN	1989	HRS	common	NA	1980-89	1961-2015
Vandal	Vandal	PI546056	spring	PNW	ID	1991	HRS	common	NA	1990-99	1961-2015
Vanguard	Vanguard	PI593891	winter	NOR	MT	1995	HRW	common	NA	1990-99	1961-2015
varname2154	2154	PI601366	winter	GPL	KS	1987	HRW	common	NA	1980-89	1961-2015
varname2157	2157	PI601070	winter	EAS	IA	1984	HRW	common	NA	1980-89	1961-2015
varname2158	2158	PI601723	winter	GPL	KS	1990	HRW	common	NA	1990-99	1961-2015
varname2163	2163	PI601722	winter	GPL	KS	1989	HRW	common	NA	1980-89	1961-2015
varname2165	2165	PI601069	winter	GPL	KS	1984	HRW	common	NA	1980-89	1961-2015
varname2172	2172	PI601071	winter	GPL	KS	1984	HRW	common	NA	1980-89	1961-2015
varname2369	2369	PI600932	spring	NOR	MN	1982	HRS	common	NA	1980-89	1961-2015
varname2375	2375	PI601477	spring	NOR	MN	1989	HRS	common	NA	1980-89	1961-2015
varname2510	2510	PI550696	winter	EAS	IN	1991	SRW	common	NA	1990-99	1961-2015
varname2545	2545	PI550697	winter	EAS	IN	1991	SRW	common	NA	1990-99	1961-2015
varname2551	2551	PI601207	winter	EAS	IN	1985	SRW	common	NA	1980-89	1961-2015
varname2552	2552	PI566924	winter	EAS	IN	1993	SRW	common	NA	1990-99	1961-2015
varname2553	2553	PI601103	winter	EAS	IN	1982	SRW	common	NA	1980-89	1961-2015
varname2555	2555	PI532914	winter	EAS	IA	1986	SRW	common	NA	1980-89	1961-2015
varname2566	2566	PI561199	winter	EAS	SC	1993	SRW	common	NA	1990-99	1961-2015
varname2571	2571	PI561200	winter	EAS	SC	1992	SRW	common	NA	1990-99	1961-2015
varname2737W	2737W	PI561197	winter	EAS	IN	1992	SWW	common	NA	1990-99	1961-2015
varname4555	4555	CItr598213	winter	GPL	KS	1977	HRW	common	NA	1970-79	1961-2015
varname4578	4578	CItr599987	winter	GPL	KS	1978	HRW	common	NA	1970-79	1961-2015
varname5221	5221	CItr598214	winter	GPL	KS	1976	HRW	common	NA	1970-79	1961-2015
varname5232	5232	CItr598212	winter	GPL	KS	1976	HRW	common	NA	1970-79	1961-2015
varname5411	5411	CItr598210	winter	GPL	KS	1973	HRW	common	NA	1970-79	1961-2015
varname5422	5422	CItr595216	winter	GPL	KS	1977	HRW	common	NA	1970-79	1961-2015
varname5466	5466	CItr596624	winter	GPL	KS	1978	HRW	common	NA	1970-79	1961-2015
varname5469	5469	PI601249	winter	GPL	KS	1985	HRW	common	NA	1980-89	1961-2015
varname5630	5630	PI601248	winter	GPL	KS	1985	HRW	common	NA	1980-89	1961-2015
varname711	711	PI486142	spring	GPL	NE	1984	HRS	common	NA	1980-89	1961-2015
varname715	715	PI486143	spring	GPL	NE	1981	HRS	common	NA	1980-89	1961-2015
varname751	751	PI486144	spring	GPL	NE	1982	HRS	common	NA	1980-89	1961-2015
varname771	771	PI486145	spring	PAC	CA	1980	HRS	common	NA	1980-89	1961-2015
varname775	775	PI601334	spring	PAC	CA	1986	HRS	common	NA	1980-89	1961-2015
varname7805	7805	PI601606	winter	GPL	KS	1988	HRW	common	NA	1980-89	1961-2015
varname7833	7833	PI601607	winter	GPL	KS	1988	HRW	common	NA	1980-89	1961-2015
varname7837	7837	PI601608	winter	GPL	KS	1988	HRW	common	NA	1980-89	1961-2015
varname8232	RHS 8232	PI601138	winter	EAS	NC	1984	SRW	common	NA	1980-89	1961-2015
varname830	830	PI486148	winter	GPL	NE	1982	HRW	common	NA	1980-89	1961-2015
varname835	835	PI486149	winter	GPL	NE	1981	HRW	common	NA	1980-89	1961-2015
Vermillion	Vermillion	CItr12748	winter	EAS	IN	1955	SRW	common	NA	1950-59	1850-1960
Vesta	Vesta	CItr11712	spring	NOR	ND	1942	HRS	common	NA	1940-49	1850-1960
Victory	Victory	PI497989	winter	GPL	CO	1985	HRW	common	NA	1980-89	1961-2015
Vigal	Vigal	PI545492	spring	AK	AK	1990	HRS	common	NA	1990-99	1961-2015
Vigo	Vigo	CItr12220	winter	EAS	IN	1946	SRW	common	NA	1940-49	1850-1960
Virginia 565372	Virginia	CItr565372	winter	EAS	MD	1910	SRW	common	NA	1850-1929	1850-1960
Vista	Vista	PI562653	winter	GPL	NE	1992	HRW	common	NA	1990-99	1961-2015
Voyager	Voyager	PI546478	winter	GPL	KS	1991	HRW	common	NA	1990-99	1961-2015
W2501 516200	W2501	PI516200	spring	GPL	CO	1988	HRS	common	NA	1980-89	1961-2015
W2502	W2502	PI516201	spring	GPL	CO	1988	HRS	common	NA	1980-89	1961-2015
Waban	Waban	CItr12992	winter	EAS	IN	1978	SRW	common	NA	1970-79	1961-2015
Waco	Waco	PI531246	winter	GPL	KS	1989	HRW	common	NA	1980-89	1961-2015
Wadual	Wadual	PI506354	spring	PNW	WA	1987	SWS	common	NA	1980-89	1961-2015
Wadual 94	Wadual 94	PI566595	spring	PNW	WA	1993	SWS	common	NA	1990-99	1961-2015
Wahoo	Wahoo	PI619098	winter	GPL	NE	2000	HRW	common	NA	2000-15	1961-2015
Wakanz	Wakanz	PI506352	spring	PNW	WA	1987	SWS	common	NA	1980-89	1961-2015
Wakeland	Wakeland	CItr13382	winter	EAS	NC	1959	SRW	common	NA	1950-59	1850-1960
Waldron	Waldron	CItr13958	spring	NOR	ND	1969	HRS	common	NA	1960-69	1961-2015
Walera	Walera	PI486141	spring	GPL	NE	1982	HRS	common	NA	1980-89	1961-2015
Wampum 17691	Wampum	PI17691	spring	PNW	WA	1980	HRS	common	NA	1980-89	1961-2015
Wanken	Wanken	CItr13659	winter	GPL	OK	1961	xxW	common	NA	1960-69	1961-2015
Wanser	Wanser	CItr13844	winter	PNW	WA	1965	HRW	common	NA	1960-69	1961-2015
Wared	Wared	CItr15926	spring	PNW	WA	1974	HRS	common	NA	1970-79	1961-2015
Warrior	Warrior	CItr13190	winter	GPL	NE	1960	HRW	common	NA	1960-69	1850-1960
Wasatch	Wasatch	CItr11925	winter	PNW	UT	1944	HRW	common	NA	1940-49	1850-1960
Wawawai	Wawawai	PI574538	spring	PNW	WA	1994	SWS	common	NA	1990-99	1961-2015
Wesbred 905R	Westbred 906R	PI483455	spring	PAC	AZ	1981	HRS	common	NA	1980-89	1961-2015
Wesel	Wesel	CItr13090	winter	GPL	OK	1944	HRW	common	NA	1940-49	1850-1960
Westar	Westar	CItr12110	winter	GPL	TX	1944	HRW	common	NA	1940-49	1850-1960
Westbred 911	Westbred 911	PI483456	spring	PAC	AZ	1981	HRS	common	NA	1980-89	1961-2015
Westbred Aim	Westbred Aim	PI599989	spring	PAC	AZ	1979	HRS	common	NA	1970-79	1961-2015
Westbred Challenger	Westbred Challenger	PI601072	spring	NOR	ND	1983	HRS	common	NA	1980-89	1961-2015
Westmont	Westmont	CItr12930	winter	NOR	MT	1956	HRW	common	NA	1950-59	1850-1960
Weston	Weston	CItr17727	winter	PNW	ID	1978	HRW	common	NA	1970-79	1961-2015
Wheaton	Wheaton	PI469271	spring	NOR	MN	1983	HRS	common	NA	1980-89	1961-2015
Wheeler	Wheeler	PI17900	winter	EAS	VA	1980	SRW	common	NA	1980-89	1961-2015
White Federation 38	White Federation 38	CItr11906	spring	PAC	CA	1939	SWS	common	NA	1930-39	1850-1960
White Federation 59	White Federation 59	CItr17579	spring	PAC	CA	1976	SWS	common	NA	1970-79	1961-2015
White Federation 60	White Federation 60	CItr17580	spring	PAC	CA	1976	SWS	common	NA	1970-79	1961-2015
White Mediterranean	White Mediterranean	CItr11489	winter	GPL	TX	1930	SWW	common	NA	1930-39	1850-1960
White Odessa	White Odessa	CItr4655	winter	PNW	ID	1928	SWW	common	NA	1850-1929	1850-1960
Whitebird	Whitebird	PI592982	spring	PNW	ID	1996	SWS	common	NA	1990-99	1961-2015
Wichita	Wichita	CItr11952	winter	GPL	KS	1944	HRW	common	NA	1940-49	1850-1960
Wilbur 6757	Wilbur	CItr6797	spring	PNW	OR	1919	SWS	club	NA	1850-1929	1850-1960
Willett	Willett	CItr13099	winter	NOR	MN	1935	xxW	common	NA	1930-39	1850-1960
Williams	Williams	PI508082	winter	EAS	SC	1984	SRW	common	NA	1980-89	1961-2015
Willow Creek	Willow Creek	PI655073	winter	NOR	MT	2005	HRW	common	NA	2000-15	1961-2015
Windstar	Windstar	PI597379	winter	GPL	NE	1996	HRW	common	NA	1990-99	1961-2015
Wings	Wings	CItr17880	winter	GPL	CO	1977	HRW	common	NA	1970-79	1961-2015
Winoka	Winoka	CItr14000	winter	NOR	SD	1969	HRW	common	NA	1960-69	1961-2015
Winridge	Winridge	PI17902	winter	NOR	MT	1981	HRW	common	NA	1980-89	1961-2015
Wisconsin Pedigree No. 2	Wisconsin Pedigree No. 2	CItr6683	winter	EAS	WI	1918	HRW	common	NA	1850-1929	1850-1960
Wissler	Wissler	CItr11610	winter	NOR	ND	1933	xxW	common	NA	1930-39	1850-1960
World Seeds 1	World Seeds 1	CItr17347	spring	PAC	CA	1974	HWS	common	NA	1970-79	1961-2015
World Seeds 13	World Seeds 13	PI17824	spring	PAC	CA	1979	SWS	common	NA	1970-79	1961-2015
World Seeds 1651	World Seeds 1651	CItr15334	spring	PAC	CA	1969	HRS	common	NA	1960-69	1961-2015
World Seeds 1809	World Seeds 1809	CItr15012	spring	PAC	CA	1971	HRS	common	NA	1970-79	1961-2015
World Seeds 1812	World Seeds 1812	CItr14585	spring	PAC	CA	1969	HRS	common	NA	1960-69	1961-2015
World Seeds 1877	World Seeds 1877	CItr14591	spring	PAC	CA	1969	HRS	common	NA	1960-69	1961-2015
World Seeds 25	World Seeds 25	CItr17825	spring	PAC	CA	1976	HRS	common	NA	1970-79	1961-2015
World Seeds 6	World Seeds 6	CItr17345	spring	PAC	CA	1973	HRS	common	NA	1970-79	1961-2015
Wrangler	Wrangler	PI477288	winter	GPL	CO	1983	HRW	common	NA	1980-89	1961-2015
Yamhill	Yamhill	CItr14563	winter	PNW	OR	1969	SWW	common	NA	1960-69	1961-2015
Yecora Rojo	Yecora Rojo	CItr17414	spring	PAC	CA	1975	HRS	common	NA	1970-79	1961-2015
Yogo	Yogo	CItr8033	winter	NOR	MT	1932	HRW	common	NA	1930-39	1850-1960
Yolo	Yolo	PI17961	spring	PAC	CA	1981	HRS	common	NA	1980-89	1961-2015
Yorkstar	Yorkstar	CItr14026	winter	EAS	NY	1968	SWW	common	NA	1960-69	1961-2015
Yorkwin	Yorkwin	CItr11855	winter	EAS	NY	1935	SWW	common	NA	1930-39	1850-1960
Yukon	Yukon	CItr14583	winter	GPL	KS	1969	HRW	common	NA	1960-69	1961-2015
Yumar	Yumar	PI605388	winter	GPL	CO	1998	HRW	common	NA	1990-99	1961-2015
