GS.Sample.ID	Corrected.Sample.ID	ACNO	Habit	Region	State	Year	MC	HeadType	Sector	Decade	BP
Elmar	Elmar	CItr12392	winter	PNW	WA	1949	SWW	club	NA	1940-49	1850-1960
Eltan	Eltan	PI536994	winter	PNW	WA	1990	SWW	common	NA	1990-99	1961-2015
Encore	Encore	PI600839	winter	GPL	KS	1981	HRW	common	NA	1980-89	1961-2015
Enid	Enid	CItr11508	winter	GPL	OK	1930	HRW	common	NA	1930-39	1850-1960
Era	Era	CItr13986	spring	NOR	MN	1970	HRS	common	NA	1970-79	1961-2015
Erhardt	Erhardt	PI564761	winter	NOR	MT	1996	HRW	common	NA	1990-99	1961-2015
Eric	Erik	PI476849	spring	GPL	CO	1983	HRS	common	NA	1980-89	1961-2015
Escondido	Escondido	CItr8240	spring	PAC	CA	1928	SWS	common	NA	1850-1929	1850-1960
Escondido 41	Escondido 41	CItr12239	spring	PAC	CA	1942	SWS	common	NA	1940-49	1850-1960
Eureka	Eureka	CItr17738	spring	NOR	SD	1978	HRS	common	NA	1970-79	1961-2015
Excel	Excel	PI555465	winter	EAS	OH	1990	SRW	common	NA	1990-99	1961-2015
Exchange	Exchange	CItr12635	winter	EAS	IN	1960	xxW	common	NA	1960-69	1850-1960
Express	Express	PI573003	spring	PAC	AZ	1991	HRS	common	NA	1990-99	1961-2015
Extra Early Blackhull	Extra Early Blackhull	CItr13664	winter	GPL	TX	1951	HRW	common	NA	1950-59	1850-1960
F.S. 401	F.S. 401	PI476850	winter	EAS	IN	1983	SRW	common	NA	1980-89	1961-2015
Fairfield	Fairfield	CItr12013	winter	EAS	IN	1942	SRW	common	NA	1940-49	1850-1960
Faro	Faro	CItr17590	winter	PNW	OR	1976	SWW	club	NA	1970-79	1961-2015
Federation 41	Federation 41	CItr12230	spring	PAC	CA	1942	SWS	common	NA	1940-49	1850-1960
Federation 41M	Federation 41M	CItr12391	spring	PNW	WA	1942	HWS	common	NA	1940-49	1850-1960
Federation 67	Federation 67	CItr13732	spring	PNW	ID	1967	SWS	common	NA	1960-69	1961-2015
Feland	Feland	PI600924	winter	EAS	SC	1983	SRW	common	NA	1980-89	1961-2015
FFR 555W	FFR 555W	PI560318	winter	EAS	IN	1991	SRW	common	NA	1990-99	1961-2015
Fielder	Fielder	CItr17268	spring	PNW	ID	1974	SWS	common	NA	1970-79	1961-2015
Fieldwin	Fieldwin	CItr17425	spring	PNW	ID	1977	SWS	common	NA	1970-79	1961-2015
Fillmore	Fillmore	PI469272	winter	EAS	IN	1982	SRW	common	NA	1980-89	1961-2015
Fineway	Fineway	PI653509	winter	PNW	WA	2008	HRW	common	NA	2000-15	1961-2015
Finley	Finley	PI586757	winter	PNW	WA	1995	HRW	common	NA	1990-99	1961-2015
Fjeld	Fjeld	PI531243	spring	GPL	KS	1989	HRS	common	NA	1980-89	1961-2015
Fletcher	Fletcher	CItr13985	spring	NOR	MN	1970	HRS	common	NA	1970-79	1961-2015
Florida 302	Florida 302	PI601163	winter	EAS	FL	1984	SRW	common	NA	1980-89	1961-2015
Florida 303	Florida 303	PI601807	winter	EAS	FL	1988	SRW	common	NA	1980-89	1961-2015
Florida 304	Florida 304	PI562528	winter	EAS	FL	1992	SRW	common	NA	1990-99	1961-2015
Fortuna	Fortuna	CItr13596	spring	NOR	ND	1966	HRS	common	NA	1960-69	1961-2015
Forward	Forward	CItr11392	winter	EAS	NY	1920	SRW	common	NA	1850-1929	1850-1960
Forx	Forx	CItr14126	spring	NOR	ND	1964	HRS	common	NA	1960-69	1961-2015
Fox	Fox	CItr13987	winter	GPL	TX	1970	HRW	common	NA	1970-79	1961-2015
Frankenmuth	Frankenmuth	CItr17830	winter	EAS	MI	1979	SWW	common	NA	1970-79	1961-2015
Franklin	Franklin	CItr15317	winter	PNW	ID	1972	HRW	common	NA	1970-79	1961-2015
Freedom	Freedom	PI562382	winter	EAS	OH	1991	SRW	common	NA	1990-99	1961-2015
Fremont	Fremont	CItr14056	spring	PNW	UT	1970	HRS	common	NA	1970-79	1961-2015
Frisco	Frisco	CItr13106	winter	GPL	TX	1953	SRW	common	NA	1950-59	1850-1960
Frontiersman	Frontiersman	PI600832	winter	GPL	KS	1981	HRW	common	NA	1980-89	1961-2015
Fulcaster	Fulcaster	CItr4862	winter	EAS	MD	1886	SRW	common	NA	1850-1929	1850-1960
Fulcaster 612	Fulcaster 612	CItr13715	winter	EAS	TN	1940	SRW	common	NA	1940-49	1850-1960
Fulhard	Fulhard	CItr8257	winter	GPL	KS	1907	HRW	common	NA	1850-1929	1850-1960
Fulhio	Fulhio	CItr6999	winter	EAS	OH	1920	SRW	common	NA	1850-1929	1850-1960
Fulton	Fulton	CItr13358	winter	EAS	OH	1964	SRW	common	NA	1960-69	1961-2015
Funk Seeds 7171	Funk Seeds 7171	CItr17403	winter	EAS	IL	1975	xxW	common	NA	1970-79	1961-2015
Funk Seeds 7172	Funk Seeds 7172	CItr17404	winter	EAS	IL	1975	xxW	common	NA	1970-79	1961-2015
Funk Seeds 7174	Funk Seeds 7174	CItr17405	winter	EAS	IL	1975	xxW	common	NA	1970-79	1961-2015
Funk W-332	Funk W-332	CItr17244	winter	EAS	IL	1972	HRW	common	NA	1970-79	1961-2015
Funk W-335	Funk W-335	CItr17350	winter	EAS	IL	1975	HRW	common	NA	1970-79	1961-2015
Funk W-433	Funk W-433	CItr17245	spring	PAC	AZ	1972	HRS	common	NA	1970-79	1961-2015
Funk W-504	Funk W-504	CItr17351	winter	EAS	IL	1974	SRW	common	NA	1970-79	1961-2015
Fuzz	Fuzz	CItr17412	winter	EAS	IN	1975	SRW	common	NA	1970-79	1961-2015
GA-Andy	GA-Andy	PI561843	winter	EAS	GA	1990	SRW	common	NA	1990-99	1961-2015
Gage	Gage	CItr13532	winter	GPL	NE	1963	HRW	common	NA	1960-69	1961-2015
GA-Gore	GA-Gore	PI561842	winter	EAS	GA	1990	SRW	common	NA	1990-99	1961-2015
Gaines	Gaines	CItr13448	winter	PNW	WA	1961	SWW	common	NA	1960-69	1961-2015
Gasser	Gasser	CItr13289	spring	AK	AK	1955	HRS	common	NA	1950-59	1850-1960
Gasta	Gasta	CItr11398	winter	EAS	GA	1931	SRW	common	NA	1930-39	1850-1960
GB 2148	GB 2148	CItr595212	winter	GPL	KS	1975	HRW	common	NA	1970-79	1961-2015
Gene	Gene	PI560129	winter	PNW	OR	1992	SWW	common	NA	1990-99	1961-2015
Genro	Genro	CItr11535	winter	PNW	WA	1928	SWW	common	NA	1850-1929	1850-1960
Gent	Gent	CItr17293	winter	NOR	SD	1974	HRW	common	NA	1970-79	1961-2015
Georgia 100	Georgia 100	PI538257	winter	EAS	GA	1988	SRW	common	NA	1980-89	1961-2015
Glacier	Glacier	PI555586	winter	EAS	WI	1991	SRW	common	NA	1990-99	1961-2015
Glenman	Glenman	PI483235	spring	NOR	MT	1985	HRS	common	NA	1980-89	1961-2015
Glory	Glory	PI592750	winter	EAS	OH	1992	SRW	common	NA	1990-99	1961-2015
Glyndon	Glyndon	CItr25991	spring	NOR	MN	1898	HRS	common	NA	1850-1929	1850-1960
Golden	Golden	CItr10063	winter	PNW	OR	1930	SWW	common	NA	1930-39	1850-1960
Golden 50	Golden 50	CItr14190	winter	GPL	KS	1963	HRW	common	NA	1960-69	1961-2015
Golden Chief	Goldenchief	CItr14487	winter	GPL	KS	1968	HRW	common	NA	1960-69	1961-2015
Golden Cross	Golden Cross	CItr5180	winter	EAS	NY	1888	SRW	common	NA	1850-1929	1850-1960
Goodstreak	Goodstreak	PI632434	winter	GPL	NE	2002	HRW	common	NA	2000-15	1961-2015
Goss	Goss	CItr12870	winter	GPL	KS	1949	HRW	common	NA	1940-49	1850-1960
GR 855	GR855	PI508286	winter	EAS	OH	1985	SRW	common	NA	1980-89	1961-2015
GR 876	GR876	PI515951	winter	EAS	OH	1987	SRW	common	NA	1980-89	1961-2015
Grandin	Grandin	PI531005	spring	NOR	ND	1989	HRS	common	NA	1980-89	1961-2015
Grandprize	Grandprize	CItr4876	winter	EAS	NY	1910	SRW	common	NA	1850-1929	1850-1960
Grant	Grant	PI572548	winter	EAS	IN	1993	SRW	common	NA	1990-99	1961-2015
Greer	Greer	CItr17725	winter	PNW	ID	1978	SWW	common	NA	1970-79	1961-2015
Guard 17934	Guard	PI17934	spring	NOR	SD	1983	HRS	common	NA	1980-89	1961-2015
Gus	Gus	PI531004	spring	NOR	ND	1989	HRS	common	NA	1980-89	1961-2015
Gypsum	Gypsum	CItr4762	spring	GPL	CO	1912	SWS	common	NA	1850-1929	1850-1960
Hadden	Hadden	CItr13488	winter	EAS	SC	1962	SRW	common	NA	1960-69	1961-2015
Hallam	Hallam	PI638790	winter	GPL	NE	2005	HRW	common	NA	2000-15	1961-2015
Halt	Halt	PI584505	winter	GPL	CO	1994	HRW	common	NA	1990-99	1961-2015
Hancock	Hancock	PI531197	winter	GPL	KS	1988	SRW	common	NA	1980-89	1961-2015
Hansel	Hansel	CItr17296	winter	PNW	UT	1974	HRW	common	NA	1970-79	1961-2015
Hard Baart	Hard Baart	CItr8274	spring	PAC	AZ	1922	HWS	common	NA	1850-1929	1850-1960
Hard Federation 31	Hard Federation 31	CItr8255	spring	PNW	OR	1928	SWS	common	NA	1850-1929	1850-1960
Harding	Harding	PI608049	winter	GPL	CO	1999	HRW	common	NA	1990-99	1961-2015
Hardired	Hardired	CItr12411	winter	EAS	SC	1940	SRW	common	NA	1940-49	1850-1960
Harry	Harry	PI632435	winter	GPL	NE	2002	HRW	common	NA	2000-15	1961-2015
Hart	Hart	CItr17426	winter	EAS	MO	1976	SRW	common	NA	1970-79	1961-2015
Harvest Queen	Harvest Queen	CItr5314	winter	GPL	KS	1897	SRW	common	NA	1850-1929	1850-1960
Hatcher	Hatcher	PI638512	winter	GPL	CO	2004	HRW	common	NA	2000-15	1961-2015
Hatton	Hatton	CItr17772	winter	PNW	WA	1979	HRW	common	NA	1970-79	1961-2015
Haven	Haven	PI547082	winter	GPL	KS	1991	HRW	common	NA	1990-99	1961-2015
Hayden	Hayden	PI608040	winter	GPL	CO	1999	HRW	common	NA	1990-99	1961-2015
Haynes Bluestem	Haynes Bluestem	CItr2874	spring	NOR	ND	1895	HRS	common	NA	1850-1929	1850-1960
Heglar	Heglar	CItr17269	winter	PNW	ID	1974	HRW	common	NA	1970-79	1961-2015
Henry	Henry	CItr12265	spring	EAS	WI	1944	HRS	common	NA	1940-49	1850-1960
Hi-Line	Hi-Line	PI549275	spring	NOR	MT	1991	HRS	common	NA	1990-99	1961-2015
Hoff	Hoff	PI560128	winter	PNW	OR	1992	HRW	common	NA	1990-99	1961-2015
Honor	Honor	CItr6161	winter	EAS	NY	1920	SWW	common	NA	1850-1929	1850-1960
Hope	Hope	CItr8178	spring	NOR	SD	1927	HRS	common	NA	1850-1929	1850-1960
Hosar	Hosar	CItr10067	winter	PNW	OR	1930	xxW	common	NA	1930-39	1850-1960
HR 53	HR 53	PI478009	winter	GPL	CO	1983	HRW	common	NA	1980-89	1961-2015
HR 64	HR 64	PI478010	winter	GPL	CO	1983	HRW	common	NA	1980-89	1961-2015
Hume	Hume	CItr13526	winter	NOR	SD	1965	HRW	common	NA	1960-69	1961-2015
Hunter	Hunter	PI468977	winter	EAS	SC	1982	SRW	common	NA	1980-89	1961-2015
Hybrid 143	Hybrid 143	CItr4160	spring	PNW	WA	1907	SWS	club	NA	1850-1929	1850-1960
Hybrid 63	Hybrid 63	CItr4510	spring	PNW	WA	1907	SWS	club	NA	1850-1929	1850-1960
Hymar	Hymar	CItr11605	winter	PNW	WA	1935	SWW	club	NA	1930-39	1850-1960
Hyper	Hyper	CItr8875	spring	PNW	WA	1929	SWS	common	NA	1850-1929	1850-1960
Idaed	Idaed	CItr11706	spring	PNW	ID	1938	SWS	common	NA	1930-39	1850-1960
Idaed 59	Idaed 59	CItr13631	spring	PNW	ID	1962	SWS	common	NA	1960-69	1961-2015
IDO 644	IDO644	PI660549	spring	PNW	ID	2011	SWS	common	NA	2000-15	1961-2015
IDO 671	IDO671	PI660548	spring	PNW	ID	2011	SWS	common	NA	2000-15	1961-2015
IDO 686	IDO686	PI660551	spring	PNW	ID	2011	SWS	common	NA	2000-15	1961-2015
IDO 687	IDO687	PI660552	spring	PNW	ID	2011	SWS	common	NA	2000-15	1961-2015
III	III	CItr598209	winter	GPL	KS	1974	HRW	common	NA	1970-79	1961-2015
Illini Chief	Illini Chief	CItr5406	winter	EAS	IL	1915	SRW	common	NA	1850-1929	1850-1960
Illinois No. 2	Illinois No. 2	CItr11537	winter	EAS	IL	1931	SRW	common	NA	1930-39	1850-1960
Imbler	Imbler	CItr10066	winter	PNW	OR	1930	SWW	common	NA	1930-39	1850-1960
Indian	Indian	CItr4489	spring	PNW	ID	1915	SWS	common	NA	1850-1929	1850-1960
Ingal	Ingal	CItr562647	spring	AK	AK	1955	HRS	common	NA	1950-59	1850-1960
Inia 66R	Inia 66R	CItr15328	spring	PAC	CA	1969	HRS	common	NA	1960-69	1961-2015
Intrada	Intrada	PI631402	winter	GPL	OK	2000	HWW	common	NA	2000-15	1961-2015
InW0731	InW0731	PI652933	winter	EAS	IN	2007	SRW	common	NA	2000-15	1961-2015
Inw8832	Inw8852	PI531248	winter	EAS	IN	1989	SRW	common	NA	1980-89	1961-2015
Inw8841	Inw8841	PI531247	winter	EAS	IN	1989	SRW	common	NA	1980-89	1961-2015
